dataset,method,classifier,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc,generation_time,train_time,method_group,root_larger,root_smaller,minority_class_recall,majority_class_recall
thyroid_sick,CTGAN_MOS,MLP,0.9747,0.8089,0.8659,0.8634,0.8683,0.8607,0.8683,20.04,2.75,new_generative,0.9829315837803873,0.7536684162196127,0.7536684162196127,0.9829315837803873
unsw_nb15,KMeans_CTGAN,RF,0.9038,0.1375,0.4975,0.495,0.5,0.0,0.5,545.38,10.07,new_generative,1.0,0.0,0.0,1.0
unsw_nb15,KMeans_CTGAN,LGBM,0.9254,0.1668,0.5823,0.9409,0.5467,0.3058,0.5467,545.38,2.62,new_generative,0.9998746352125193,0.09352536478748064,0.09352536478748064,0.9998746352125193
unsw_nb15,KMeans_CTGAN,MLP,0.8997,0.0639,0.5255,0.6028,0.5156,0.18,0.5156,545.38,290.11,new_generative,0.9987597665369086,0.032440233463091384,0.032440233463091384,0.9987597665369086
unsw_nb15,CTGAN_MOS,RF,0.9046,0.1379,0.4975,0.495,0.5,0.0,0.5,311.15,9.64,new_generative,1.0,0.0,0.0,1.0
unsw_nb15,CTGAN_MOS,LGBM,0.9256,0.1724,0.5812,0.9661,0.5458,0.3027,0.5458,311.15,2.57,new_generative,0.9999699571746241,0.09163004282537579,0.09163004282537579,0.9999699571746241
unsw_nb15,CTGAN_MOS,MLP,0.8918,0.1053,0.5358,0.9152,0.52,0.2002,0.52,311.15,64.68,new_generative,0.9999166177577101,0.04008338224228991,0.04008338224228991,0.9999166177577101
credit_default,ctdGAN,RF,0.7557,0.5328,0.6746,0.7343,0.6525,0.5863,0.6525,737.51,0.61,new_generative,0.9388713672838118,0.36612863271618806,0.36612863271618806,0.9388713672838118
credit_default,ctdGAN,LGBM,0.7755,0.5357,0.6782,0.7428,0.655,0.5883,0.655,737.51,0.15,new_generative,0.942972411873082,0.367027588126918,0.367027588126918,0.942972411873082
credit_default,ctdGAN,MLP,0.7036,0.3984,0.6258,0.6373,0.6186,0.565,0.6186,737.51,40.01,new_generative,0.8704748895781398,0.3667251104218603,0.3667251104218603,0.8704748895781398
fraud_detection,ctdGAN,RF,0.9543,0.4894,0.7341,0.6796,0.8368,0.8211,0.8368,7663.98,23.9,new_generative,0.9981351480614187,0.6754648519385813,0.6754648519385813,0.9981351480614187
fraud_detection,ctdGAN,LGBM,0.949,0.4035,0.7618,0.7128,0.8404,0.8254,0.8404,7663.98,0.78,new_generative,0.9984727680531975,0.6823272319468026,0.6823272319468026,0.9984727680531975
fraud_detection,ctdGAN,MLP,0.948,0.8084,0.9012,0.9039,0.8985,0.8928,0.8985,7663.98,51.18,new_generative,0.9995465734203777,0.7974534265796223,0.7974534265796223,0.9995465734203777
pima_diabetes,ctdGAN,RF,0.8084,0.6517,0.7038,0.715,0.6978,0.6831,0.6978,21.96,0.28,new_generative,0.8402753662918607,0.5553246337081392,0.5553246337081392,0.8402753662918607
pima_diabetes,ctdGAN,LGBM,0.8045,0.6605,0.688,0.6996,0.6821,0.6651,0.6821,21.96,0.06,new_generative,0.8334353891196637,0.5307646108803363,0.5307646108803363,0.8334353891196637
pima_diabetes,ctdGAN,MLP,0.7742,0.6334,0.7019,0.7094,0.6973,0.6852,0.6973,21.96,0.87,new_generative,0.8266377361793533,0.5679622638206467,0.5679622638206467,0.8266377361793533
ibm_attrition,ctdGAN,RF,0.7639,0.3804,0.5189,0.7014,0.5298,0.2639,0.5298,43.45,0.29,new_generative,0.9891961580161506,0.07040384198384947,0.07040384198384947,0.9891961580161506
ibm_attrition,ctdGAN,LGBM,0.7634,0.4348,0.6366,0.7355,0.6105,0.4953,0.6105,43.45,0.1,new_generative,0.9674147797444091,0.25358522025559094,0.25358522025559094,0.9674147797444091
ibm_attrition,ctdGAN,MLP,0.7596,0.4777,0.6649,0.7019,0.645,0.5747,0.645,43.45,0.69,new_generative,0.9378223181384917,0.3521776818615083,0.3521776818615083,0.9378223181384917
yeast_me2,ctdGAN,RF,0.8933,0.1678,0.4885,0.483,0.4942,0.0,0.4942,29.58,0.28,new_generative,0.9884,0.0,0.0,0.9884
yeast_me2,ctdGAN,LGBM,0.8571,0.188,0.5642,0.576,0.5562,0.3613,0.5562,29.58,0.06,new_generative,0.9790720255585608,0.13332797444143935,0.13332797444143935,0.9790720255585608
yeast_me2,ctdGAN,MLP,0.8111,0.1601,0.6331,0.6199,0.6504,0.5679,0.6504,29.58,1.38,new_generative,0.9674327270172591,0.33336727298274077,0.33336727298274077,0.9674327270172591
mammography,ctdGAN,RF,0.9394,0.552,0.7592,0.7151,0.8294,0.8157,0.8294,234.71,0.4,new_generative,0.9795261802618054,0.6792738197381947,0.6792738197381947,0.9795261802618054
mammography,ctdGAN,LGBM,0.9346,0.5951,0.7716,0.748,0.8005,0.7788,0.8005,234.71,0.09,new_generative,0.9856237694084686,0.6153762305915313,0.6153762305915313,0.9856237694084686
mammography,ctdGAN,MLP,0.9489,0.5949,0.6745,0.6232,0.8575,0.8529,0.8575,234.71,14.26,new_generative,0.9462008455427573,0.7687991544572428,0.7687991544572428,0.9462008455427573
abalone_19,ctdGAN,RF,0.6175,0.0131,0.4917,0.4959,0.4875,0.0,0.4875,84.54,0.28,new_generative,0.975,0.0,0.0,0.975
abalone_19,ctdGAN,LGBM,0.7582,0.0216,0.4968,0.496,0.4976,0.0,0.4976,84.54,0.07,new_generative,0.9952,0.0,0.0,0.9952
abalone_19,ctdGAN,MLP,0.6816,0.05,0.5203,0.5176,0.6219,0.5321,0.6219,84.54,2.46,new_generative,0.9438148955857744,0.2999851044142256,0.2999851044142256,0.9438148955857744
wine_quality,ctdGAN,RF,0.8928,0.3241,0.5075,0.6483,0.5084,0.1347,0.5084,102.14,0.32,new_generative,0.9986310373691163,0.01816896263088358,0.01816896263088358,0.9986310373691163
wine_quality,ctdGAN,LGBM,0.8804,0.2786,0.6067,0.7696,0.5706,0.3806,0.5706,102.14,0.07,new_generative,0.9957211592005273,0.14547884079947276,0.14547884079947276,0.9957211592005273
wine_quality,ctdGAN,MLP,0.7863,0.3426,0.7139,0.7198,0.7083,0.654,0.7083,102.14,4.94,new_generative,0.9802795764391143,0.43632042356088574,0.43632042356088574,0.9802795764391143
ecoli,ctdGAN,RF,0.9737,0.8008,0.7967,0.8481,0.7616,0.7303,0.7616,6.73,0.26,new_generative,0.9776936602494396,0.5455063397505605,0.5455063397505605,0.9776936602494396
ecoli,ctdGAN,LGBM,0.9394,0.6151,0.7225,0.7452,0.7051,0.659,0.7051,6.73,0.04,new_generative,0.9558688377769453,0.45433116222305464,0.45433116222305464,0.9558688377769453
ecoli,ctdGAN,MLP,0.8758,0.5736,0.8109,0.7906,0.8359,0.8288,0.8359,6.73,0.54,new_generative,0.9446169260051074,0.7271830739948926,0.7271830739948926,0.9446169260051074
pageblocks,ctdGAN,RF,0.9969,0.5861,0.7592,0.6994,0.8722,0.8636,0.8722,117.85,0.3,new_generative,0.9943797037154694,0.7500202962845306,0.7500202962845306,0.9943797037154694
pageblocks,ctdGAN,LGBM,0.9972,0.5888,0.7783,0.7056,0.9344,0.9325,0.9344,117.85,0.07,new_generative,0.993957619159936,0.874842380840064,0.874842380840064,0.993957619159936
pageblocks,ctdGAN,MLP,0.9987,0.817,0.8468,0.7667,0.9979,0.9979,0.9979,117.85,1.7,new_generative,0.9979,0.9979,0.9979,0.9979
protein_homo,ctdGAN,RF,0.9533,0.8029,0.8971,0.9928,0.8329,0.8159,0.8329,5988.0,12.82,new_generative,1.0003204288609964,0.6654795711390035,0.6654795711390035,1.0003204288609964
protein_homo,ctdGAN,LGBM,0.9764,0.8476,0.9129,0.9849,0.8598,0.8483,0.8598,5988.0,1.02,new_generative,0.9999540224181951,0.7196459775818049,0.7196459775818049,0.9999540224181951
protein_homo,ctdGAN,MLP,0.9809,0.8035,0.8208,0.766,0.9055,0.9012,0.9055,5988.0,58.55,new_generative,0.9936408531839802,0.8173591468160197,0.8173591468160197,0.9936408531839802
satellite,ctdGAN,RF,0.9389,0.686,0.7678,0.8097,0.7381,0.6996,0.7381,176.26,0.34,new_generative,0.9733688887209695,0.5028311112790305,0.5028311112790305,0.9733688887209695
satellite,ctdGAN,LGBM,0.9525,0.7365,0.7934,0.8379,0.7615,0.7302,0.7615,176.26,0.11,new_generative,0.9775791753038685,0.5454208246961314,0.5454208246961314,0.9775791753038685
satellite,ctdGAN,MLP,0.9421,0.7081,0.8036,0.8051,0.8022,0.786,0.8022,176.26,5.43,new_generative,0.9626021196867423,0.6417978803132578,0.6417978803132578,0.9626021196867423
churn,ctdGAN,RF,0.9233,0.8669,0.8461,0.9485,0.7905,0.7633,0.7905,114.78,0.29,new_generative,0.9960805438265011,0.5849194561734988,0.5849194561734988,0.9960805438265011
churn,ctdGAN,LGBM,0.9278,0.8813,0.9032,0.9428,0.8723,0.8643,0.8723,114.78,0.09,new_generative,0.9901677224688757,0.7544322775311242,0.7544322775311242,0.9901677224688757
churn,ctdGAN,MLP,0.907,0.7979,0.8531,0.8858,0.8276,0.8142,0.8276,114.78,4.29,new_generative,0.975924374261279,0.679275625738721,0.679275625738721,0.975924374261279
secom,ctdGAN,RF,0.7331,0.1594,0.483,0.4671,0.5,0.0,0.5,232.16,0.35,new_generative,1.0,0.0,0.0,1.0
secom,ctdGAN,LGBM,0.7357,0.189,0.4818,0.467,0.4977,0.0,0.4977,232.16,0.5,new_generative,0.9954,0.0,0.0,0.9954
secom,ctdGAN,MLP,0.6727,0.1399,0.5248,0.5517,0.5209,0.2511,0.5209,232.16,0.74,new_generative,0.9772831723453441,0.06451682765465594,0.06451682765465594,0.9772831723453441
thyroid_sick,ctdGAN,RF,0.9939,0.9342,0.8976,0.9457,0.86,0.8493,0.86,116.16,0.28,new_generative,0.9952387148711485,0.7247612851288515,0.7247612851288515,0.9952387148711485
thyroid_sick,ctdGAN,LGBM,0.9976,0.957,0.9433,0.9347,0.9523,0.9515,0.9523,116.16,0.11,new_generative,0.9913261450824975,0.9132738549175026,0.9132738549175026,0.9913261450824975
thyroid_sick,ctdGAN,MLP,0.9583,0.7069,0.8858,0.894,0.8779,0.871,0.8779,116.16,2.47,new_generative,0.9877517637546162,0.7680482362453839,0.7680482362453839,0.9877517637546162
unsw_nb15,ctdGAN,RF,0.886,0.0505,0.5367,0.5262,0.5854,0.4426,0.5854,12481.75,10.94,new_generative,0.9685427932246672,0.20225720677533288,0.20225720677533288,0.9685427932246672
unsw_nb15,ctdGAN,LGBM,0.9146,0.134,0.5655,0.8031,0.5379,0.2762,0.5379,12481.75,3.41,new_generative,0.9994733636162296,0.07632663638377052,0.07632663638377052,0.9994733636162296
unsw_nb15,ctdGAN,MLP,0.8927,0.0871,0.5359,0.7244,0.5207,0.2049,0.5207,12481.75,1123.53,new_generative,0.999390380099705,0.04200961990029506,0.04200961990029506,0.999390380099705
pima_diabetes,CTAB-GAN+,RF,0.8016,0.6723,0.6952,0.6931,0.6981,0.6948,0.6981,21.65,0.3,new_generative,0.7658980088203197,0.6303019911796804,0.6303019911796804,0.7658980088203197
pima_diabetes,CTAB-GAN+,LGBM,0.797,0.6374,0.6902,0.6907,0.6896,0.6828,0.6896,21.65,0.05,new_generative,0.7862039336673206,0.5929960663326794,0.5929960663326794,0.7862039336673206
pima_diabetes,CTAB-GAN+,MLP,0.7378,0.5686,0.6483,0.6468,0.6506,0.6453,0.6506,21.65,0.88,new_generative,0.7334750263951693,0.5677249736048307,0.5677249736048307,0.7334750263951693
yeast_me2,CTAB-GAN+,RF,0.9186,0.3155,0.4909,0.4831,0.4988,0.0,0.4988,17.8,0.29,new_generative,0.9976,0.0,0.0,0.9976
yeast_me2,CTAB-GAN+,LGBM,0.8939,0.3497,0.6031,0.8187,0.5655,0.3647,0.5655,17.8,0.07,new_generative,0.997685330616392,0.1333146693836081,0.1333146693836081,0.997685330616392
yeast_me2,CTAB-GAN+,MLP,0.8937,0.2058,0.6427,0.6198,0.6803,0.6199,0.6803,17.8,0.78,new_generative,0.960535757889674,0.400064242110326,0.400064242110326,0.960535757889674
ibm_attrition,CTAB-GAN+,RF,0.7656,0.3913,0.5473,0.6759,0.5455,0.332,0.5455,50.83,0.31,new_generative,0.9783351302747963,0.11266486972520362,0.11266486972520362,0.9783351302747963
ibm_attrition,CTAB-GAN+,LGBM,0.7617,0.4458,0.6097,0.7101,0.5894,0.4521,0.5894,50.83,0.1,new_generative,0.9675506974739041,0.21124930252609603,0.21124930252609603,0.9675506974739041
ibm_attrition,CTAB-GAN+,MLP,0.7381,0.4493,0.6784,0.7037,0.662,0.6055,0.662,50.83,0.69,new_generative,0.9296074550531057,0.39439254494689435,0.39439254494689435,0.9296074550531057
abalone_19,CTAB-GAN+,RF,0.7589,0.0541,0.498,0.496,0.5,0.0,0.5,71.71,0.32,new_generative,1.0,0.0,0.0,1.0
abalone_19,CTAB-GAN+,LGBM,0.6661,0.0249,0.498,0.496,0.5,0.0,0.5,71.71,0.07,new_generative,1.0,0.0,0.0,1.0
abalone_19,CTAB-GAN+,MLP,0.6979,0.0279,0.5327,0.523,0.5855,0.4407,0.5855,71.71,2.0,new_generative,0.9709786115986204,0.20002138840137962,0.20002138840137962,0.9709786115986204
wine_quality,CTAB-GAN+,RF,0.7445,0.1102,0.5574,0.5463,0.5919,0.4864,0.5919,90.35,0.35,new_generative,0.9291842273217056,0.2546157726782944,0.2546157726782944,0.9291842273217056
wine_quality,CTAB-GAN+,LGBM,0.7998,0.1376,0.5856,0.5717,0.6109,0.5088,0.6109,90.35,0.08,new_generative,0.9490144332914523,0.27278556670854764,0.27278556670854764,0.9490144332914523
wine_quality,CTAB-GAN+,MLP,0.8184,0.2027,0.6425,0.6113,0.7158,0.6795,0.7158,90.35,6.44,new_generative,0.9408541934734831,0.4907458065265169,0.4907458065265169,0.9408541934734831
thyroid_sick,CTAB-GAN+,RF,0.9955,0.9412,0.9161,0.9314,0.902,0.8975,0.902,202.44,0.31,new_generative,0.9919874991318239,0.8120125008681761,0.8120125008681761,0.9919874991318239
thyroid_sick,CTAB-GAN+,LGBM,0.9978,0.9587,0.9555,0.9386,0.974,0.9739,0.974,202.44,0.08,new_generative,0.987956718812099,0.9600432811879009,0.9600432811879009,0.987956718812099
thyroid_sick,CTAB-GAN+,MLP,0.981,0.8123,0.8793,0.8963,0.8639,0.8549,0.8639,202.44,1.91,new_generative,0.9882752386932385,0.7395247613067615,0.7395247613067615,0.9882752386932385
churn,CTAB-GAN+,RF,0.9258,0.8791,0.8674,0.9475,0.818,0.7988,0.818,245.23,0.34,new_generative,0.9941889894403168,0.6418110105596831,0.6418110105596831,0.9941889894403168
churn,CTAB-GAN+,LGBM,0.9273,0.8899,0.9151,0.9559,0.8833,0.8765,0.8833,245.23,0.08,new_generative,0.9926921386572186,0.7739078613427813,0.7739078613427813,0.9926921386572186
churn,CTAB-GAN+,MLP,0.8904,0.7502,0.7951,0.7763,0.8193,0.8129,0.8193,245.23,5.24,new_generative,0.9215060663561617,0.7170939336438383,0.7170939336438383,0.9215060663561617
pageblocks,CTAB-GAN+,RF,0.9953,0.3403,0.7071,0.6333,0.9933,0.9932,0.9933,107.37,0.35,new_generative,1.00739432509913,0.97920567490087,0.97920567490087,1.00739432509913
pageblocks,CTAB-GAN+,LGBM,0.9962,0.4775,0.7398,0.66,0.9948,0.9948,0.9948,107.37,0.07,new_generative,0.9948,0.9948,0.9948,0.9948
pageblocks,CTAB-GAN+,MLP,0.9971,0.5908,0.8062,0.7222,0.9969,0.9969,0.9969,107.37,1.84,new_generative,0.9969,0.9969,0.9969,0.9969
satellite,CTAB-GAN+,RF,0.9448,0.6773,0.7835,0.7427,0.8571,0.8549,0.8571,349.81,0.38,new_generative,0.9184710029248346,0.7957289970751653,0.7957289970751653,0.9184710029248346
satellite,CTAB-GAN+,LGBM,0.946,0.7153,0.8099,0.7888,0.836,0.8282,0.836,349.81,0.1,new_generative,0.9499331382873303,0.7220668617126696,0.7220668617126696,0.9499331382873303
satellite,CTAB-GAN+,MLP,0.9128,0.6589,0.7729,0.75,0.8032,0.7918,0.8032,349.81,7.95,new_generative,0.938044354720545,0.668355645279455,0.668355645279455,0.938044354720545
secom,CTAB-GAN+,RF,0.7672,0.1947,0.483,0.4671,0.5,0.0,0.5,485.4,0.33,new_generative,1.0,0.0,0.0,1.0
secom,CTAB-GAN+,LGBM,0.8048,0.3074,0.483,0.4671,0.5,0.0,0.5,485.4,0.52,new_generative,1.0,0.0,0.0,1.0
secom,CTAB-GAN+,MLP,0.6727,0.1597,0.5282,0.5685,0.5232,0.2517,0.5232,485.4,0.79,new_generative,0.9818778281103198,0.06452217188968024,0.06452217188968024,0.9818778281103198
mammography,CTAB-GAN+,RF,0.9489,0.6672,0.8035,0.798,0.8092,0.7887,0.8092,212.67,0.37,new_generative,0.9901888118089075,0.6282111881910926,0.6282111881910926,0.9901888118089075
mammography,CTAB-GAN+,LGBM,0.9493,0.6951,0.8159,0.8288,0.804,0.7816,0.804,212.67,0.09,new_generative,0.9924607120861006,0.6155392879138994,0.6155392879138994,0.9924607120861006
mammography,CTAB-GAN+,MLP,0.9624,0.7153,0.8141,0.8122,0.8161,0.7971,0.8161,212.67,5.07,new_generative,0.9911736987671196,0.6410263012328805,0.6410263012328805,0.9911736987671196
credit_default,CTAB-GAN+,RF,0.7705,0.5486,0.6758,0.7464,0.652,0.5817,0.652,1631.69,0.69,new_generative,0.946498064509769,0.357501935490231,0.357501935490231,0.946498064509769
credit_default,CTAB-GAN+,LGBM,0.7799,0.5464,0.6731,0.7476,0.6492,0.5762,0.6492,1631.69,0.13,new_generative,0.9482889499797675,0.3501110500202324,0.3501110500202324,0.9482889499797675
credit_default,CTAB-GAN+,MLP,0.6821,0.3769,0.6116,0.6352,0.602,0.5278,0.602,1631.69,46.13,new_generative,0.8915361117373788,0.31246388826262117,0.31246388826262117,0.8915361117373788
