dataset,method,classifier,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc,generation_time,train_time,method_group
thyroid_sick,Q-G-CTGAN,MLP,0.9737,0.7948,0.8592,0.8642,0.8543,0.8444,0.8543,8.885000000000002,2.3,proposed
unsw_nb15,Q-G-CTGAN,RF,0.9052,0.1321,0.4975,0.495,0.5,0.0,0.5,217.35899999999995,6.02,proposed
unsw_nb15,Q-G-CTGAN,LGBM,0.9233,0.1659,0.5881,0.9229,0.5505,0.318,0.5505,217.35899999999995,2.39,proposed
unsw_nb15,Q-G-CTGAN,MLP,0.8938,0.0921,0.5553,0.7114,0.533,0.2583,0.533,217.35899999999995,115.15,proposed
credit_default,KMeans_CTGAN,RF,0.7609,0.5409,0.6791,0.7431,0.6558,0.5899,0.6558,78.6,0.7,new_generative
credit_default,KMeans_CTGAN,LGBM,0.7811,0.5456,0.6793,0.7522,0.6547,0.5852,0.6547,78.6,0.14,new_generative
credit_default,KMeans_CTGAN,MLP,0.6799,0.3657,0.6073,0.6229,0.5996,0.532,0.5996,78.6,41.6,new_generative
credit_default,CTGAN_MOS,RF,0.7659,0.5436,0.6784,0.7442,0.6549,0.5878,0.6549,89.92,0.68,new_generative
credit_default,CTGAN_MOS,LGBM,0.781,0.5519,0.679,0.7525,0.6544,0.5845,0.6544,89.92,0.14,new_generative
credit_default,CTGAN_MOS,MLP,0.6947,0.3917,0.6227,0.6472,0.612,0.5429,0.612,89.92,40.91,new_generative
fraud_detection,KMeans_CTGAN,RF,0.9579,0.8019,0.8992,0.8902,0.9086,0.904,0.9086,64.32,24.67,new_generative
fraud_detection,KMeans_CTGAN,LGBM,0.951,0.8026,0.8885,0.8822,0.8951,0.8889,0.8951,64.32,0.67,new_generative
fraud_detection,KMeans_CTGAN,MLP,0.963,0.8148,0.9055,0.9284,0.885,0.8776,0.885,64.32,37.84,new_generative
fraud_detection,CTGAN_MOS,RF,0.9542,0.7693,0.8857,0.8831,0.8883,0.8813,0.8883,112.93,28.14,new_generative
fraud_detection,CTGAN_MOS,LGBM,0.9544,0.7113,0.8862,0.8717,0.9018,0.8965,0.9018,112.93,0.66,new_generative
fraud_detection,CTGAN_MOS,MLP,0.9617,0.7891,0.8992,0.8965,0.9018,0.8965,0.9018,112.93,31.95,new_generative
pima_diabetes,KMeans_CTGAN,RF,0.8159,0.7174,0.7057,0.7093,0.703,0.6942,0.703,37.61,0.29,new_generative
pima_diabetes,KMeans_CTGAN,LGBM,0.8061,0.6694,0.6979,0.6998,0.6963,0.6885,0.6963,37.61,0.06,new_generative
pima_diabetes,KMeans_CTGAN,MLP,0.7826,0.6387,0.6743,0.6717,0.6786,0.6759,0.6786,37.61,0.92,new_generative
pima_diabetes,CTGAN_MOS,RF,0.8048,0.6696,0.7057,0.7093,0.703,0.6942,0.703,6.6,0.22,new_generative
pima_diabetes,CTGAN_MOS,LGBM,0.8083,0.6666,0.7097,0.7142,0.7063,0.6971,0.7063,6.6,0.06,new_generative
pima_diabetes,CTGAN_MOS,MLP,0.7244,0.6011,0.6497,0.6475,0.6558,0.6538,0.6558,6.6,0.89,new_generative
ibm_attrition,KMeans_CTGAN,RF,0.779,0.3984,0.5545,0.6634,0.5499,0.3512,0.5499,75.9,0.24,new_generative
ibm_attrition,KMeans_CTGAN,LGBM,0.7616,0.4422,0.6166,0.7454,0.5935,0.454,0.5935,75.9,0.09,new_generative
ibm_attrition,KMeans_CTGAN,MLP,0.7402,0.4396,0.6867,0.7051,0.6734,0.6249,0.6734,75.9,0.77,new_generative
ibm_attrition,CTGAN_MOS,RF,0.7805,0.4008,0.5439,0.6478,0.5428,0.3311,0.5428,17.69,0.27,new_generative
ibm_attrition,CTGAN_MOS,LGBM,0.7609,0.4304,0.6166,0.7454,0.5935,0.454,0.5935,17.69,0.09,new_generative
ibm_attrition,CTGAN_MOS,MLP,0.7181,0.4027,0.6262,0.6311,0.622,0.5604,0.622,17.69,0.76,new_generative
yeast_me2,KMeans_CTGAN,RF,0.9203,0.2868,0.697,0.7039,0.6907,0.6266,0.6907,7.93,0.24,new_generative
yeast_me2,KMeans_CTGAN,LGBM,0.8868,0.3009,0.6738,0.7732,0.6299,0.5146,0.6299,7.93,0.06,new_generative
yeast_me2,KMeans_CTGAN,MLP,0.7414,0.1392,0.5904,0.5713,0.6377,0.5604,0.6377,7.93,1.77,new_generative
yeast_me2,CTGAN_MOS,RF,0.9231,0.251,0.4897,0.4831,0.4965,0.0,0.4965,6.79,0.25,new_generative
yeast_me2,CTGAN_MOS,LGBM,0.8934,0.3025,0.6207,0.6738,0.5942,0.4446,0.5942,6.79,0.08,new_generative
yeast_me2,CTGAN_MOS,MLP,0.8277,0.1484,0.6213,0.5964,0.6745,0.6161,0.6745,6.79,2.02,new_generative
mammography,KMeans_CTGAN,RF,0.9417,0.6299,0.7842,0.7791,0.7895,0.7638,0.7895,9.07,0.36,new_generative
mammography,KMeans_CTGAN,LGBM,0.9473,0.7006,0.8079,0.8006,0.8156,0.7967,0.8156,9.07,0.08,new_generative
mammography,KMeans_CTGAN,MLP,0.9589,0.6907,0.8167,0.8008,0.8346,0.82,0.8346,9.07,13.92,new_generative
mammography,CTGAN_MOS,RF,0.9404,0.5623,0.7039,0.6577,0.7985,0.7802,0.7985,5.32,0.38,new_generative
mammography,CTGAN_MOS,LGBM,0.9533,0.6626,0.8132,0.8384,0.7917,0.7655,0.7917,5.32,0.09,new_generative
mammography,CTGAN_MOS,MLP,0.9598,0.6323,0.7544,0.6954,0.8768,0.8717,0.8768,5.32,8.49,new_generative
abalone_19,KMeans_CTGAN,RF,0.7261,0.0172,0.498,0.496,0.5,0.0,0.5,33.0,0.32,new_generative
abalone_19,KMeans_CTGAN,LGBM,0.7599,0.0424,0.498,0.496,0.5,0.0,0.5,33.0,0.08,new_generative
abalone_19,KMeans_CTGAN,MLP,0.7578,0.0293,0.5306,0.5225,0.6275,0.5353,0.6275,33.0,2.91,new_generative
abalone_19,CTGAN_MOS,RF,0.7313,0.0246,0.498,0.496,0.5,0.0,0.5,5.43,0.32,new_generative
abalone_19,CTGAN_MOS,LGBM,0.693,0.0282,0.498,0.496,0.5,0.0,0.5,5.43,0.08,new_generative
abalone_19,CTGAN_MOS,MLP,0.8218,0.0331,0.4966,0.496,0.4972,0.0,0.4972,5.43,2.84,new_generative
wine_quality,KMeans_CTGAN,RF,0.8348,0.1921,0.6231,0.6438,0.6083,0.4813,0.6083,15.14,0.32,new_generative
wine_quality,KMeans_CTGAN,LGBM,0.8701,0.2397,0.6134,0.6514,0.5922,0.4437,0.5922,15.14,0.08,new_generative
wine_quality,KMeans_CTGAN,MLP,0.8189,0.2673,0.617,0.6297,0.6069,0.4806,0.6069,15.14,4.95,new_generative
wine_quality,CTGAN_MOS,RF,0.8449,0.2384,0.654,0.6568,0.6513,0.565,0.6513,8.38,0.34,new_generative
wine_quality,CTGAN_MOS,LGBM,0.8678,0.2204,0.608,0.6213,0.5978,0.4618,0.5978,8.38,0.08,new_generative
wine_quality,CTGAN_MOS,MLP,0.793,0.2474,0.6807,0.6526,0.7257,0.6866,0.7257,8.38,5.08,new_generative
ecoli,KMeans_CTGAN,RF,0.9828,0.8896,0.8671,0.8835,0.8525,0.8433,0.8525,5.75,0.2,new_generative
ecoli,KMeans_CTGAN,LGBM,0.9626,0.8145,0.8671,0.8835,0.8525,0.8433,0.8525,5.75,0.04,new_generative
ecoli,KMeans_CTGAN,MLP,0.9475,0.7545,0.8581,0.8348,0.8869,0.8842,0.8869,5.75,0.44,new_generative
ecoli,CTGAN_MOS,RF,0.9859,0.9119,0.8671,0.8835,0.8525,0.8433,0.8525,5.4,0.21,new_generative
ecoli,CTGAN_MOS,LGBM,0.9657,0.8375,0.8335,0.8671,0.8071,0.7888,0.8071,5.4,0.05,new_generative
ecoli,CTGAN_MOS,MLP,0.9313,0.6688,0.7927,0.7528,0.8646,0.8634,0.8646,5.4,0.59,new_generative
pageblocks,KMeans_CTGAN,RF,0.9963,0.5315,0.7558,0.6739,0.9954,0.9954,0.9954,20.45,0.28,new_generative
pageblocks,KMeans_CTGAN,LGBM,0.9969,0.5863,0.7645,0.6818,0.9957,0.9957,0.9957,20.45,0.08,new_generative
pageblocks,KMeans_CTGAN,MLP,0.9963,0.5485,0.7901,0.7184,0.9347,0.9328,0.9347,20.45,1.69,new_generative
pageblocks,CTGAN_MOS,RF,0.9963,0.4031,0.8321,0.75,0.9976,0.9975,0.9976,8.22,0.33,new_generative
pageblocks,CTGAN_MOS,LGBM,0.9977,0.6501,0.8062,0.7222,0.9969,0.9969,0.9969,8.22,0.07,new_generative
pageblocks,CTGAN_MOS,MLP,0.9971,0.603,0.803,0.733,0.9351,0.9331,0.9351,8.22,1.72,new_generative
protein_homo,KMeans_CTGAN,RF,0.9789,0.8199,0.9045,0.9667,0.8571,0.8452,0.8571,90.3,13.89,new_generative
protein_homo,KMeans_CTGAN,LGBM,0.9912,0.8691,0.9122,0.9416,0.8864,0.8793,0.8864,90.3,0.87,new_generative
protein_homo,KMeans_CTGAN,MLP,0.995,0.901,0.9303,0.9548,0.9084,0.9038,0.9084,90.3,47.26,new_generative
protein_homo,CTGAN_MOS,RF,0.9737,0.8046,0.9001,0.9661,0.8507,0.8376,0.8507,92.45,14.48,new_generative
protein_homo,CTGAN_MOS,LGBM,0.9902,0.8604,0.892,0.9206,0.867,0.8569,0.867,92.45,0.93,new_generative
protein_homo,CTGAN_MOS,MLP,0.9945,0.9076,0.9316,0.9515,0.9135,0.9095,0.9135,92.45,44.09,new_generative
satellite,KMeans_CTGAN,RF,0.9425,0.6774,0.7814,0.769,0.7956,0.7806,0.7956,28.71,0.4,new_generative
satellite,KMeans_CTGAN,LGBM,0.9518,0.7283,0.8059,0.8136,0.7986,0.7808,0.7986,28.71,0.11,new_generative
satellite,KMeans_CTGAN,MLP,0.953,0.7578,0.8315,0.8339,0.8291,0.8173,0.8291,28.71,4.58,new_generative
satellite,CTGAN_MOS,RF,0.9483,0.7124,0.7924,0.8316,0.7633,0.7332,0.7633,17.43,0.39,new_generative
satellite,CTGAN_MOS,LGBM,0.9504,0.7428,0.8121,0.854,0.7811,0.7555,0.7811,17.43,0.1,new_generative
satellite,CTGAN_MOS,MLP,0.9536,0.7391,0.8215,0.8231,0.82,0.8068,0.82,17.43,7.24,new_generative
churn,KMeans_CTGAN,RF,0.9218,0.8598,0.8655,0.947,0.8157,0.7958,0.8157,28.35,0.33,new_generative
churn,KMeans_CTGAN,LGBM,0.9291,0.8921,0.9095,0.9472,0.8798,0.8728,0.8798,28.35,0.08,new_generative
churn,KMeans_CTGAN,MLP,0.9132,0.8072,0.8495,0.884,0.8229,0.8085,0.8229,28.35,3.8,new_generative
churn,CTGAN_MOS,RF,0.927,0.8671,0.8502,0.9495,0.7952,0.7694,0.7952,9.18,0.32,new_generative
churn,CTGAN_MOS,LGBM,0.9261,0.8928,0.9188,0.9547,0.89,0.8841,0.89,9.18,0.08,new_generative
churn,CTGAN_MOS,MLP,0.9116,0.803,0.8456,0.8733,0.8233,0.8097,0.8233,9.18,3.98,new_generative
secom,KMeans_CTGAN,RF,0.79,0.2298,0.483,0.4671,0.5,0.0,0.5,161.32,0.32,new_generative
secom,KMeans_CTGAN,LGBM,0.8177,0.2737,0.483,0.4671,0.5,0.0,0.5,161.32,0.47,new_generative
secom,KMeans_CTGAN,MLP,0.693,0.1647,0.509,0.5678,0.5116,0.1788,0.5116,161.32,0.67,new_generative
secom,CTGAN_MOS,RF,0.7722,0.178,0.483,0.4671,0.5,0.0,0.5,168.32,0.32,new_generative
secom,CTGAN_MOS,LGBM,0.7774,0.1909,0.4813,0.4669,0.4966,0.0,0.4966,168.32,0.5,new_generative
secom,CTGAN_MOS,MLP,0.6604,0.1363,0.53,0.5797,0.5243,0.252,0.5243,168.32,0.79,new_generative
thyroid_sick,KMeans_CTGAN,RF,0.9949,0.9349,0.9348,0.9319,0.9378,0.9363,0.9378,19.29,0.27,new_generative
thyroid_sick,KMeans_CTGAN,LGBM,0.9979,0.9671,0.9454,0.9217,0.9726,0.9725,0.9726,19.29,0.1,new_generative
thyroid_sick,KMeans_CTGAN,MLP,0.9729,0.8007,0.8694,0.8578,0.8819,0.8763,0.8819,19.29,1.83,new_generative
thyroid_sick,CTGAN_MOS,RF,0.9925,0.9276,0.8839,0.9347,0.845,0.8317,0.845,20.04,0.29,new_generative
thyroid_sick,CTGAN_MOS,LGBM,0.9978,0.9622,0.9391,0.9333,0.945,0.9439,0.945,20.04,0.08,new_generative
thyroid_sick,CTGAN_MOS,MLP,0.9747,0.8089,0.8659,0.8634,0.8683,0.8607,0.8683,20.04,2.75,new_generative
unsw_nb15,KMeans_CTGAN,RF,0.9038,0.1375,0.4975,0.495,0.5,0.0,0.5,545.38,10.07,new_generative
unsw_nb15,KMeans_CTGAN,LGBM,0.9254,0.1668,0.5823,0.9409,0.5467,0.3058,0.5467,545.38,2.62,new_generative
unsw_nb15,KMeans_CTGAN,MLP,0.8997,0.0639,0.5255,0.6028,0.5156,0.18,0.5156,545.38,290.11,new_generative
unsw_nb15,CTGAN_MOS,RF,0.9046,0.1379,0.4975,0.495,0.5,0.0,0.5,311.15,9.64,new_generative
unsw_nb15,CTGAN_MOS,LGBM,0.9256,0.1724,0.5812,0.9661,0.5458,0.3027,0.5458,311.15,2.57,new_generative
unsw_nb15,CTGAN_MOS,MLP,0.8918,0.1053,0.5358,0.9152,0.52,0.2002,0.52,311.15,64.68,new_generative
credit_default,ctdGAN,RF,0.7557,0.5328,0.6746,0.7343,0.6525,0.5863,0.6525,737.51,0.61,new_generative
credit_default,ctdGAN,LGBM,0.7755,0.5357,0.6782,0.7428,0.655,0.5883,0.655,737.51,0.15,new_generative
credit_default,ctdGAN,MLP,0.7036,0.3984,0.6258,0.6373,0.6186,0.565,0.6186,737.51,40.01,new_generative
fraud_detection,ctdGAN,RF,0.9543,0.4894,0.7341,0.6796,0.8368,0.8211,0.8368,7663.98,23.9,new_generative
fraud_detection,ctdGAN,LGBM,0.949,0.4035,0.7618,0.7128,0.8404,0.8254,0.8404,7663.98,0.78,new_generative
fraud_detection,ctdGAN,MLP,0.948,0.8084,0.9012,0.9039,0.8985,0.8928,0.8985,7663.98,51.18,new_generative
pima_diabetes,ctdGAN,RF,0.8084,0.6517,0.7038,0.715,0.6978,0.6831,0.6978,21.96,0.28,new_generative
pima_diabetes,ctdGAN,LGBM,0.8045,0.6605,0.688,0.6996,0.6821,0.6651,0.6821,21.96,0.06,new_generative
pima_diabetes,ctdGAN,MLP,0.7742,0.6334,0.7019,0.7094,0.6973,0.6852,0.6973,21.96,0.87,new_generative
ibm_attrition,ctdGAN,RF,0.7639,0.3804,0.5189,0.7014,0.5298,0.2639,0.5298,43.45,0.29,new_generative
ibm_attrition,ctdGAN,LGBM,0.7634,0.4348,0.6366,0.7355,0.6105,0.4953,0.6105,43.45,0.1,new_generative
ibm_attrition,ctdGAN,MLP,0.7596,0.4777,0.6649,0.7019,0.645,0.5747,0.645,43.45,0.69,new_generative
yeast_me2,ctdGAN,RF,0.8933,0.1678,0.4885,0.483,0.4942,0.0,0.4942,29.58,0.28,new_generative
yeast_me2,ctdGAN,LGBM,0.8571,0.188,0.5642,0.576,0.5562,0.3613,0.5562,29.58,0.06,new_generative
yeast_me2,ctdGAN,MLP,0.8111,0.1601,0.6331,0.6199,0.6504,0.5679,0.6504,29.58,1.38,new_generative
mammography,ctdGAN,RF,0.9394,0.552,0.7592,0.7151,0.8294,0.8157,0.8294,234.71,0.4,new_generative
mammography,ctdGAN,LGBM,0.9346,0.5951,0.7716,0.748,0.8005,0.7788,0.8005,234.71,0.09,new_generative
mammography,ctdGAN,MLP,0.9489,0.5949,0.6745,0.6232,0.8575,0.8529,0.8575,234.71,14.26,new_generative
abalone_19,ctdGAN,RF,0.6175,0.0131,0.4917,0.4959,0.4875,0.0,0.4875,84.54,0.28,new_generative
abalone_19,ctdGAN,LGBM,0.7582,0.0216,0.4968,0.496,0.4976,0.0,0.4976,84.54,0.07,new_generative
abalone_19,ctdGAN,MLP,0.6816,0.05,0.5203,0.5176,0.6219,0.5321,0.6219,84.54,2.46,new_generative
wine_quality,ctdGAN,RF,0.8928,0.3241,0.5075,0.6483,0.5084,0.1347,0.5084,102.14,0.32,new_generative
wine_quality,ctdGAN,LGBM,0.8804,0.2786,0.6067,0.7696,0.5706,0.3806,0.5706,102.14,0.07,new_generative
wine_quality,ctdGAN,MLP,0.7863,0.3426,0.7139,0.7198,0.7083,0.654,0.7083,102.14,4.94,new_generative
ecoli,ctdGAN,RF,0.9737,0.8008,0.7967,0.8481,0.7616,0.7303,0.7616,6.73,0.26,new_generative
ecoli,ctdGAN,LGBM,0.9394,0.6151,0.7225,0.7452,0.7051,0.659,0.7051,6.73,0.04,new_generative
ecoli,ctdGAN,MLP,0.8758,0.5736,0.8109,0.7906,0.8359,0.8288,0.8359,6.73,0.54,new_generative
pageblocks,ctdGAN,RF,0.9969,0.5861,0.7592,0.6994,0.8722,0.8636,0.8722,117.85,0.3,new_generative
pageblocks,ctdGAN,LGBM,0.9972,0.5888,0.7783,0.7056,0.9344,0.9325,0.9344,117.85,0.07,new_generative
pageblocks,ctdGAN,MLP,0.9987,0.817,0.8468,0.7667,0.9979,0.9979,0.9979,117.85,1.7,new_generative
protein_homo,ctdGAN,RF,0.9533,0.8029,0.8971,0.9928,0.8329,0.8159,0.8329,5988.0,12.82,new_generative
protein_homo,ctdGAN,LGBM,0.9764,0.8476,0.9129,0.9849,0.8598,0.8483,0.8598,5988.0,1.02,new_generative
protein_homo,ctdGAN,MLP,0.9809,0.8035,0.8208,0.766,0.9055,0.9012,0.9055,5988.0,58.55,new_generative
satellite,ctdGAN,RF,0.9389,0.686,0.7678,0.8097,0.7381,0.6996,0.7381,176.26,0.34,new_generative
satellite,ctdGAN,LGBM,0.9525,0.7365,0.7934,0.8379,0.7615,0.7302,0.7615,176.26,0.11,new_generative
satellite,ctdGAN,MLP,0.9421,0.7081,0.8036,0.8051,0.8022,0.786,0.8022,176.26,5.43,new_generative
churn,ctdGAN,RF,0.9233,0.8669,0.8461,0.9485,0.7905,0.7633,0.7905,114.78,0.29,new_generative
churn,ctdGAN,LGBM,0.9278,0.8813,0.9032,0.9428,0.8723,0.8643,0.8723,114.78,0.09,new_generative
churn,ctdGAN,MLP,0.907,0.7979,0.8531,0.8858,0.8276,0.8142,0.8276,114.78,4.29,new_generative
secom,ctdGAN,RF,0.7331,0.1594,0.483,0.4671,0.5,0.0,0.5,232.16,0.35,new_generative
secom,ctdGAN,LGBM,0.7357,0.189,0.4818,0.467,0.4977,0.0,0.4977,232.16,0.5,new_generative
secom,ctdGAN,MLP,0.6727,0.1399,0.5248,0.5517,0.5209,0.2511,0.5209,232.16,0.74,new_generative
thyroid_sick,ctdGAN,RF,0.9939,0.9342,0.8976,0.9457,0.86,0.8493,0.86,116.16,0.28,new_generative
thyroid_sick,ctdGAN,LGBM,0.9976,0.957,0.9433,0.9347,0.9523,0.9515,0.9523,116.16,0.11,new_generative
thyroid_sick,ctdGAN,MLP,0.9583,0.7069,0.8858,0.894,0.8779,0.871,0.8779,116.16,2.47,new_generative
unsw_nb15,ctdGAN,RF,0.886,0.0505,0.5367,0.5262,0.5854,0.4426,0.5854,12481.75,10.94,new_generative
unsw_nb15,ctdGAN,LGBM,0.9146,0.134,0.5655,0.8031,0.5379,0.2762,0.5379,12481.75,3.41,new_generative
unsw_nb15,ctdGAN,MLP,0.8927,0.0871,0.5359,0.7244,0.5207,0.2049,0.5207,12481.75,1123.53,new_generative
pima_diabetes,CTAB-GAN+,RF,0.8016,0.6723,0.6952,0.6931,0.6981,0.6948,0.6981,21.65,0.3,new_generative
pima_diabetes,CTAB-GAN+,LGBM,0.797,0.6374,0.6902,0.6907,0.6896,0.6828,0.6896,21.65,0.05,new_generative
pima_diabetes,CTAB-GAN+,MLP,0.7378,0.5686,0.6483,0.6468,0.6506,0.6453,0.6506,21.65,0.88,new_generative
yeast_me2,CTAB-GAN+,RF,0.9186,0.3155,0.4909,0.4831,0.4988,0.0,0.4988,17.8,0.29,new_generative
yeast_me2,CTAB-GAN+,LGBM,0.8939,0.3497,0.6031,0.8187,0.5655,0.3647,0.5655,17.8,0.07,new_generative
yeast_me2,CTAB-GAN+,MLP,0.8937,0.2058,0.6427,0.6198,0.6803,0.6199,0.6803,17.8,0.78,new_generative
ibm_attrition,CTAB-GAN+,RF,0.7656,0.3913,0.5473,0.6759,0.5455,0.332,0.5455,50.83,0.31,new_generative
ibm_attrition,CTAB-GAN+,LGBM,0.7617,0.4458,0.6097,0.7101,0.5894,0.4521,0.5894,50.83,0.1,new_generative
ibm_attrition,CTAB-GAN+,MLP,0.7381,0.4493,0.6784,0.7037,0.662,0.6055,0.662,50.83,0.69,new_generative
abalone_19,CTAB-GAN+,RF,0.7589,0.0541,0.498,0.496,0.5,0.0,0.5,71.71,0.32,new_generative
abalone_19,CTAB-GAN+,LGBM,0.6661,0.0249,0.498,0.496,0.5,0.0,0.5,71.71,0.07,new_generative
abalone_19,CTAB-GAN+,MLP,0.6979,0.0279,0.5327,0.523,0.5855,0.4407,0.5855,71.71,2.0,new_generative
wine_quality,CTAB-GAN+,RF,0.7445,0.1102,0.5574,0.5463,0.5919,0.4864,0.5919,90.35,0.35,new_generative
wine_quality,CTAB-GAN+,LGBM,0.7998,0.1376,0.5856,0.5717,0.6109,0.5088,0.6109,90.35,0.08,new_generative
wine_quality,CTAB-GAN+,MLP,0.8184,0.2027,0.6425,0.6113,0.7158,0.6795,0.7158,90.35,6.44,new_generative
thyroid_sick,CTAB-GAN+,RF,0.9955,0.9412,0.9161,0.9314,0.902,0.8975,0.902,202.44,0.31,new_generative
thyroid_sick,CTAB-GAN+,LGBM,0.9978,0.9587,0.9555,0.9386,0.974,0.9739,0.974,202.44,0.08,new_generative
thyroid_sick,CTAB-GAN+,MLP,0.981,0.8123,0.8793,0.8963,0.8639,0.8549,0.8639,202.44,1.91,new_generative
churn,CTAB-GAN+,RF,0.9258,0.8791,0.8674,0.9475,0.818,0.7988,0.818,245.23,0.34,new_generative
churn,CTAB-GAN+,LGBM,0.9273,0.8899,0.9151,0.9559,0.8833,0.8765,0.8833,245.23,0.08,new_generative
churn,CTAB-GAN+,MLP,0.8904,0.7502,0.7951,0.7763,0.8193,0.8129,0.8193,245.23,5.24,new_generative
pageblocks,CTAB-GAN+,RF,0.9953,0.3403,0.7071,0.6333,0.9933,0.9932,0.9933,107.37,0.35,new_generative
pageblocks,CTAB-GAN+,LGBM,0.9962,0.4775,0.7398,0.66,0.9948,0.9948,0.9948,107.37,0.07,new_generative
pageblocks,CTAB-GAN+,MLP,0.9971,0.5908,0.8062,0.7222,0.9969,0.9969,0.9969,107.37,1.84,new_generative
satellite,CTAB-GAN+,RF,0.9448,0.6773,0.7835,0.7427,0.8571,0.8549,0.8571,349.81,0.38,new_generative
satellite,CTAB-GAN+,LGBM,0.946,0.7153,0.8099,0.7888,0.836,0.8282,0.836,349.81,0.1,new_generative
satellite,CTAB-GAN+,MLP,0.9128,0.6589,0.7729,0.75,0.8032,0.7918,0.8032,349.81,7.95,new_generative
secom,CTAB-GAN+,RF,0.7672,0.1947,0.483,0.4671,0.5,0.0,0.5,485.4,0.33,new_generative
secom,CTAB-GAN+,LGBM,0.8048,0.3074,0.483,0.4671,0.5,0.0,0.5,485.4,0.52,new_generative
secom,CTAB-GAN+,MLP,0.6727,0.1597,0.5282,0.5685,0.5232,0.2517,0.5232,485.4,0.79,new_generative
mammography,CTAB-GAN+,RF,0.9489,0.6672,0.8035,0.798,0.8092,0.7887,0.8092,212.67,0.37,new_generative
mammography,CTAB-GAN+,LGBM,0.9493,0.6951,0.8159,0.8288,0.804,0.7816,0.804,212.67,0.09,new_generative
mammography,CTAB-GAN+,MLP,0.9624,0.7153,0.8141,0.8122,0.8161,0.7971,0.8161,212.67,5.07,new_generative
credit_default,CTAB-GAN+,RF,0.7705,0.5486,0.6758,0.7464,0.652,0.5817,0.652,1631.69,0.69,new_generative
credit_default,CTAB-GAN+,LGBM,0.7799,0.5464,0.6731,0.7476,0.6492,0.5762,0.6492,1631.69,0.13,new_generative
credit_default,CTAB-GAN+,MLP,0.6821,0.3769,0.6116,0.6352,0.602,0.5278,0.602,1631.69,46.13,new_generative
